"";"Codigo_Distrito"
"399";"60108"
"400";"60109"
"401";"60110"
"402";"60111"
"403";"60112"
"404";"60113"
"405";"60114"
"406";"60115"
"407";"60116"
"408";"60201"
"409";"60202"
"410";"60203"
"411";"60204"
"412";"60205"
"413";"60206"
"414";"60301"
"415";"60302"
"416";"60303"
"417";"60304"
"418";"60305"
"419";"60306"
"420";"60307"
"421";"60308"
"422";"60309"
"423";"60401"
"424";"60402"
"425";"60403"
"426";"60501"
"427";"60502"
"428";"60503"
"429";"60504"
"430";"60505"
"431";"60506"
"432";"60601"
"433";"60602"
"434";"60603"
"435";"60701"
"436";"60702"
"437";"60703"
"438";"60704"
"439";"60801"
"440";"60802"
"441";"60803"
"442";"60804"
"443";"60805"
"444";"60806"
"445";"60901"
"446";"61001"
"447";"61002"
"448";"61003"
"449";"61004"
"450";"61101"
"451";"61102"
"452";"70101"
"453";"70102"
"454";"70103"
"455";"70104"
"456";"70201"
"457";"70202"
"458";"70203"
"459";"70204"
"460";"70205"
"461";"70206"
"462";"70207"
"463";"70301"
"464";"70302"
"465";"70303"
"466";"70304"
"467";"70305"
"468";"70306"
"469";"70401"
"470";"70402"
"471";"70403"
"472";"70404"
"473";"70501"
"474";"70502"
"475";"70503"
"476";"70601"
"477";"70602"
"478";"70603"
"479";"70604"
"480";"70605"
